year,pid,age,sex,marstat,educ,inctot,k6sum,outcome,label_outcome,label_sex,label_education
2021,102,21,2,50,114,16000,9,0,No,Female,Grade 10
2021,103,19,2,50,113,17000,4,0,No,Female,Grade 9
2021,104,43,1,10,111,38000,0,0,No,Male,Grade 8
2021,103,25,1,50,201,41000,5,0,No,Male,High school graduate
2021,101,59,2,30,504,23000,4,0,No,Female,Other degree
2021,102,23,2,50,201,5300,12,0,No,Female,High school graduate
2021,101,52,1,10,201,35000,1,0,No,Male,High school graduate
2021,101,67,2,10,504,20917,4,0,No,Female,Other degree
2021,102,68,1,10,201,20917,20,1,Yes,Male,High school graduate
2021,101,63,2,30,400,87000,4,0,No,Female,"Bachelor's degree (BA,AB,BS,BBA)"
2021,101,78,2,30,301,49274,11,0,No,Female,"Some college, no degree"
2021,101,31,1,30,301,60020,2,0,No,Male,"Some college, no degree"
2021,101,57,1,30,301,33830,5,0,No,Male,"Some college, no degree"
2021,101,63,1,30,501,141268,0,0,No,Male,"Master's degree (MA,MS,Med,MBA)"
2021,101,72,2,30,201,14466,2,0,No,Female,High school graduate
2021,101,75,2,20,301,39000,1,0,No,Female,"Some college, no degree"
2021,101,65,2,10,400,20667,1,0,No,Female,"Bachelor's degree (BA,AB,BS,BBA)"
2021,102,63,1,10,501,41333,4,0,No,Male,"Master's degree (MA,MS,Med,MBA)"
2021,101,70,1,50,301,24874,5,0,No,Male,"Some college, no degree"
2021,101,56,2,10,400,38210,0,0,No,Female,"Bachelor's degree (BA,AB,BS,BBA)"
2021,102,61,1,10,400,71000,0,0,No,Male,"Bachelor's degree (BA,AB,BS,BBA)"
2021,101,57,2,10,201,63777,0,0,No,Female,High school graduate
2021,102,58,1,10,201,10805,0,0,No,Male,High school graduate
2021,101,64,1,10,400,200055,1,0,No,Male,"Bachelor's degree (BA,AB,BS,BBA)"
2021,102,22,2,50,201,20500,10,0,No,Female,High school graduate
2021,101,85,1,20,501,42000,0,0,No,Male,"Master's degree (MA,MS,Med,MBA)"
2021,101,70,2,20,109,40000,0,0,No,Female,Grade 6
2021,103,44,1,30,201,3000,0,0,No,Male,High school graduate
2021,101,85,1,10,503,91988,0,0,No,Male,"Doctoral degree (PhD, EdD)"
2021,102,85,2,10,501,91988,3,0,No,Female,"Master's degree (MA,MS,Med,MBA)"
2021,101,61,1,30,201,14867,0,0,No,Male,High school graduate
2021,101,73,2,10,201,6310,9,0,No,Female,High school graduate
2021,101,64,2,20,201,28528,1,0,No,Female,High school graduate
2021,101,81,1,10,400,33863,0,0,No,Male,"Bachelor's degree (BA,AB,BS,BBA)"
2021,101,28,1,50,400,103100,3,0,No,Male,"Bachelor's degree (BA,AB,BS,BBA)"
2021,101,73,1,30,301,9876,0,0,No,Male,"Some college, no degree"
2021,102,56,2,50,201,45606,0,0,No,Female,High school graduate
2021,102,47,2,10,501,150000,0,0,No,Female,"Master's degree (MA,MS,Med,MBA)"
2021,101,83,2,20,301,21700,0,0,No,Female,"Some college, no degree"
2021,101,72,2,20,202,6069,0,0,No,Female,GED or equivalent
2021,103,33,2,50,201,25000,5,0,No,Female,High school graduate
2021,101,50,2,10,400,1000,8,0,No,Female,"Bachelor's degree (BA,AB,BS,BBA)"
2021,102,48,1,10,503,125000,6,0,No,Male,"Doctoral degree (PhD, EdD)"
2021,101,64,2,50,111,12000,2,0,No,Female,Grade 8
2021,101,24,2,30,201,52000,11,0,No,Female,High school graduate
2021,101,46,1,30,400,52000,0,0,No,Male,"Bachelor's degree (BA,AB,BS,BBA)"
2021,101,85,2,20,400,22326,0,0,No,Female,"Bachelor's degree (BA,AB,BS,BBA)"
2021,101,78,2,20,201,36690,7,0,No,Female,High school graduate
2021,101,35,1,10,501,286783,1,0,No,Male,"Master's degree (MA,MS,Med,MBA)"
2021,101,83,2,20,504,21724,9,0,No,Female,Other degree
2021,103,31,2,50,201,40000,0,0,No,Female,High school graduate
2021,101,70,2,10,201,12467,1,0,No,Female,High school graduate
2021,102,75,1,10,400,42467,2,0,No,Male,"Bachelor's degree (BA,AB,BS,BBA)"
2021,101,69,1,10,301,15400,6,0,No,Male,"Some college, no degree"
2021,103,23,2,50,301,24575,3,0,No,Female,"Some college, no degree"
2021,101,53,2,20,504,47600,4,0,No,Female,Other degree
2021,102,25,1,50,201,11000,3,0,No,Male,High school graduate
2021,106,56,1,30,400,10000,17,1,Yes,Male,"Bachelor's degree (BA,AB,BS,BBA)"
2021,101,72,2,30,113,7596,0,0,No,Female,Grade 9
2021,101,62,1,20,201,35315,2,0,No,Male,High school graduate
2021,101,42,2,10,501,66810,8,0,No,Female,"Master's degree (MA,MS,Med,MBA)"
2021,102,46,1,10,201,52250,0,0,No,Male,High school graduate
2021,102,33,2,10,201,25000,0,0,No,Female,High school graduate
2021,103,78,1,10,503,3825,0,0,No,Male,"Doctoral degree (PhD, EdD)"
2021,101,74,1,10,201,8580,7,0,No,Male,High school graduate
2021,101,38,2,10,503,276240,0,0,No,Female,"Doctoral degree (PhD, EdD)"
2021,102,46,1,10,503,155601,0,0,No,Male,"Doctoral degree (PhD, EdD)"
2021,101,63,2,30,201,18000,4,0,No,Female,High school graduate
2021,101,33,1,10,202,30000,6,0,No,Male,GED or equivalent
2021,102,33,2,10,301,28000,11,0,No,Female,"Some college, no degree"
2021,101,55,1,50,504,8000,4,0,No,Male,Other degree
2021,101,78,2,20,301,24846,4,0,No,Female,"Some college, no degree"
2021,101,41,2,40,301,4745,5,0,No,Female,"Some college, no degree"
2021,103,40,1,10,109,9600,0,0,No,Male,Grade 6
2021,104,18,1,50,111,8489,5,0,No,Male,Grade 8
2021,101,85,1,20,400,29780,0,0,No,Male,"Bachelor's degree (BA,AB,BS,BBA)"
2021,101,45,1,10,400,28000,5,0,No,Male,"Bachelor's degree (BA,AB,BS,BBA)"
2021,102,38,2,10,501,110000,0,0,No,Female,"Master's degree (MA,MS,Med,MBA)"
2021,102,77,1,10,114,5720,1,0,No,Male,Grade 10
2021,102,41,1,10,115,70000,0,0,No,Male,Grade 11
